Dataset	Base	field	min	median	mean	max	#dom	tau	p-value	|tau|
raw	whole	Gender	0.000	1.000	0.5300685105303222	1.000	2.000	-0.003	0.717	0.003
raw	whole	HDL	20.000	54.000	56.668358284699316	148.000	111.000	0.053	0.000	0.053
raw	whole	K24h	401.150	2211.300	2397.469588936818	31888.750	7706.000	0.094	0.000	0.094
raw	whole	LDL	32.000	129.000	130.9783472891821	515.000	248.000	0.046	0.000	0.046
raw	whole	Na24h	218.790	3946.210	4328.895366658208	18192.280	9576.000	0.027	0.000	0.027
raw	whole	Race	0.000	0.000	0.4676478051256026	1.000	2.000	-0.039	0.000	0.039
raw	whole	SCr	0.300	0.900	0.9386619301361754	4.800	29.000	0.068	0.000	0.068
raw	whole	SNa	130.000	144.000	143.78279624460797	187.000	41.000	0.065	0.000	0.065
raw	whole	TChol	80.000	212.000	214.67131861625646	718.000	292.000	0.080	0.000	0.080
raw	whole	TG	26.000	114.000	139.46358792184725	3317.000	529.000	0.078	0.000	0.078
raw	whole	TG_HDL	0.300	2.110	2.7482940032140744	103.500	985.000	0.042	0.000	0.042
raw	whole	UAlb	0.000	0.495	1.2011383743550705	308.029	1266.000	-0.041	0.000	0.041
raw	whole	UCr	10.000	78.000	91.06461980884717	429.000	290.000	-0.143	0.000	0.143
raw	whole	UDur	600.000	720.000	730.5534974202825	840.000	187.000	-0.038	0.000	0.038
raw	whole	UH+	1.000	5.400	5.547898164594433	13.400	107.000	0.064	0.000	0.064
raw	whole	UK	4.000	27.000	30.34906538103696	144.000	117.000	-0.006	0.361	0.006
raw	whole	UNa	6.000	96.000	105.2029941639178	327.000	285.000	-0.052	0.000	0.052
raw	whole	UVol	250.000	850.000	945.6029772477375	3720.000	339.000	0.085	0.000	0.085
raw	whole	eACR	0.000	0.571	1.3046073571745338	261.843	11392.000	0.020	0.001	0.020
raw	whole	eBSA	1.244	1.789	1.8008415416610706	2.809	11609.000	-0.073	0.000	0.073
raw	whole	eDCE	15.478	95.723	98.11193080356917	231.219	11823.000	-0.189	0.000	0.189
raw	whole	hadCS	0.000	0.000	0.017254503933011926	1.000	2.000	0.111	0.000	0.111
raw	whole	hadCVA	0.000	0.000	0.0126025543432293	1.000	2.000	0.058	0.000	0.058
raw	whole	hadMI	0.000	0.000	0.017254503933011926	1.000	2.000	0.097	0.000	0.097
raw	whole	hasDM	0.000	0.000	0.1897995432631312	1.000	2.000	0.185	0.000	0.185
raw	whole	hasHTN	0.000	0.000	0.34914996193859427	1.000	2.000	0.258	0.000	0.258
raw	whole	height	131.200	164.700	165.2294510699484	203.300	512.000	-0.116	0.000	0.116
raw	whole	regBA	0.000	0.000	0.1223885646620993	1.000	2.000	0.044	0.000	0.044
raw	whole	regES	0.000	0.000	0.06867969212551805	1.000	2.000	0.016	0.033	0.016
raw	whole	regMG	0.000	0.000	0.21982576334263723	1.000	2.000	0.022	0.004	0.022
raw	whole	regRJ	0.000	0.000	0.11756745326905185	1.000	2.000	-0.083	0.000	0.083
raw	whole	regRS	0.000	0.000	0.14421043728326144	1.000	2.000	0.031	0.000	0.031
raw	whole	regSP	0.000	0.000	0.3273280893174321	1.000	2.000	-0.025	0.001	0.025
raw	whole	weight	36.440	71.700	73.16707603823056	150.600	1867.000	-0.039	0.000	0.039
standardised	whole	Gender	-1.062	0.942	-2.4039338095579807e-18	0.942	2.000	-0.003	0.717	0.003
standardised	whole	HDL	-2.521	-0.183	-9.134948476320327e-17	6.278	111.000	0.053	0.000	0.053
standardised	whole	K24h	-1.950	-0.182	-4.807867619115962e-17	28.806	7706.000	0.094	0.000	0.094
standardised	whole	LDL	-2.809	-0.056	1.754871680977326e-16	10.898	248.000	0.046	0.000	0.046
standardised	whole	Na24h	-1.939	-0.181	1.1779275666834106e-16	6.540	9576.000	0.027	0.000	0.027
standardised	whole	Race	-0.937	-0.937	1.634674990499427e-16	1.067	2.000	-0.039	0.000	0.039
standardised	whole	SCr	-3.063	-0.185	-5.649244452461255e-16	18.517	29.000	0.068	0.000	0.068
standardised	whole	SNa	-4.232	0.067	6.995447385813725e-16	13.271	41.000	0.065	0.000	0.065
standardised	whole	TChol	-3.173	-0.063	-1.7789110190729058e-16	11.859	292.000	0.080	0.000	0.080
standardised	whole	TG	-1.042	-0.234	-2.1485158422924453e-17	29.194	529.000	0.078	0.000	0.078
standardised	whole	TG_HDL	-0.926	-0.241	-3.004917261947476e-17	38.109	985.000	0.042	0.000	0.042
standardised	whole	UAlb	-0.195	-0.115	1.1418685595400409e-17	49.885	1266.000	-0.041	0.000	0.041
standardised	whole	UCr	-1.611	-0.260	-1.370242271448049e-16	6.714	290.000	-0.143	0.000	0.143
standardised	whole	UDur	-4.070	-0.329	8.413768333452933e-17	3.412	187.000	-0.038	0.000	0.038
standardised	whole	UH+	-2.973	-0.097	9.062830462033588e-16	5.133	107.000	0.064	0.000	0.064
standardised	whole	UK	-1.619	-0.206	1.9231470476463846e-17	6.984	117.000	-0.006	0.361	0.006
standardised	whole	UNa	-1.900	-0.176	-1.153888228587831e-16	4.249	285.000	-0.052	0.000	0.052
standardised	whole	UVol	-1.504	-0.207	-8.173374952497135e-17	5.998	339.000	0.085	0.000	0.085
standardised	whole	eACR	-0.212	-0.119	-1.0216718690621418e-17	42.369	11368.000	0.020	0.001	0.020
standardised	whole	eBSA	-2.750	-0.056	1.6695320307380176e-15	4.983	11609.000	-0.073	0.000	0.073
standardised	whole	eDCE	-3.714	-0.107	-1.6827536666905866e-16	5.983	11823.000	-0.189	0.000	0.189
standardised	whole	hadCS	-0.133	-0.133	-1.5625569762126877e-17	7.547	2.000	0.111	0.000	0.111
standardised	whole	hadCVA	-0.113	-0.113	-5.108359345310709e-17	8.851	2.000	0.058	0.000	0.058
standardised	whole	hadMI	-0.133	-0.133	-1.3221635952568895e-17	7.547	2.000	0.097	0.000	0.097
standardised	whole	hasDM	-0.484	-0.484	-9.856128619187722e-17	2.066	2.000	0.185	0.000	0.185
standardised	whole	hasHTN	-0.732	-0.732	1.4423602857347886e-17	1.365	2.000	0.258	0.000	0.258
standardised	whole	height	-3.628	-0.056	9.77499585311514e-16	4.059	512.000	-0.116	0.000	0.116
standardised	whole	regBA	-0.373	-0.373	2.884720571469577e-17	2.678	2.000	0.044	0.000	0.044
standardised	whole	regES	-0.272	-0.272	-1.9231470476463846e-17	3.682	2.000	0.016	0.033	0.016
standardised	whole	regMG	-0.531	-0.531	-1.0577308762055116e-16	1.884	2.000	0.022	0.004	0.022
standardised	whole	regRJ	-0.365	-0.365	0.0	2.740	2.000	-0.083	0.000	0.083
